 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
258 ;* 66 And                           ;SB*;02 27 51.7780802040 +50 34 11.906854392;18.4347   ;6.156    
259 ;* tet Per                          ;PM*;02 44 11.9866154103 +49 13 42.414669174;89.6850   ;4.11     
260 ;HD 18155                           ;*  ;02 56 33.3013385856 +47 09 50.417886672;1.6543    ;6.03     
261 ;HD 18474                           ;*  ;02 59 49.7897133000 +47 13 14.567181096;6.5326    ;5.485    
262 ;HD 17818                           ;*  ;02 53 21.0706663824 +48 34 11.848899324;1.839     ;6.210    
263 ;V* V509 Per                        ;dS*;03 03 56.7430410096 +47 50 54.518667504;8.6235    ;6.467    
264 ;HD 19735                           ;PM*;03 12 26.4205390296 +47 43 33.147255648;6.1171    ;6.327    
265 ;V* V521 Per                        ;dS*;03 07 47.3431610616 +47 18 31.341189456;11.6125   ;6.375    
266 ;V* KP Per                          ;bC*;03 32 38.9776919424 +44 51 20.734775568;1.839     ;6.41     
267 ;HD 20162                           ;V* ;03 16 04.4568658584 +45 20 46.086112464;3.1785    ;6.18     
268 ;HD 22402                           ;*  ;03 38 00.1822824048 +42 34 58.236163752;5.3215    ;6.402    
269 ;* nu. Per                          ;*  ;03 45 11.6327358410 +42 34 42.709540671;5.4766    ;3.80     
270 ;HD 189377                          ;** ;19 57 56.11352 +42 15 38.7774          ;3.07      ;6.450    
271 ;HD 192535                          ;*  ;20 13 42.8133728592 +43 22 44.440996944;4.1655    ;6.14     
272 ;V* V1584 Cyg                       ;a2*;20 19 56.0424826920 +46 50 14.344583532;2.6260    ;6.478    
273 ;HD 193536                          ;SB*;20 18 49.6679585808 +46 19 19.894727064;1.1504    ;6.443    
274 ;HD 192985                          ;PM*;20 16 00.6155322192 +45 34 46.290085536;29.2845   ;5.864    
275 ;HD 194152                          ;SB*;20 22 05.3676486336 +45 47 41.997669324;7.5785    ;5.572    
276 ;V* V2015 Cyg                       ;a2*;20 33 54.8435604456 +46 41 37.867484940;5.9464    ;5.769    
277 ;* 51 Cyg                           ;*  ;20 42 12.6305206584 +50 20 24.066965544;2.6729    ;5.401    
278 ;HD 199611                          ;*  ;20 56 25.4774838120 +50 43 42.948296868;19.4264   ;5.820    
279 ;HD 199955                          ;** ;20 58 30.03385 +50 27 42.4409          ;3.02      ;5.90     
280 ;HD 200740                          ;PM*;21 03 26.0902046232 +50 21 06.894996336;8.443     ;6.364    
281 ;HD 202923                          ;PM*;21 17 02.0526778776 +53 59 51.694377756;7.9173    ;6.13     
282 ;HD 200817                          ;SB*;21 03 47.6224016568 +53 17 09.282047244;7.0884    ;5.918    
283 ;HD 201834                          ;*  ;21 10 15.5733223584 +53 33 47.162825784;7.135     ;5.747    
284 ;HD 204754                          ;V* ;21 28 52.7390472960 +55 25 07.347832464;3.3616    ;6.127    
285 ;HD 206040                          ;** ;21 37 38.8151315756 +54 02 31.908447225;4.9198    ;6.159    
286 ;HD 204428                          ;*  ;21 26 44.9697592824 +52 53 54.730425048;6.2053    ;5.987    
287 ;HD 206509                          ;*  ;21 40 43.3072037712 +54 52 19.758912816;4.0225    ;6.150    
288 ;HD 208063                          ;Pu*;21 52 00.4545972216 +55 47 31.125514776;4.2158    ;6.419    
289 ;HD 208095                          ;Ce*;21 52 01.0393576752 +55 47 48.298534764;5.1169    ;5.657    
290 ;* 13 Cep                           ;V* ;21 54 53.1538880928 +56 36 40.415024952;0.9126    ;5.80     
291 ;HD 210071                          ;*  ;22 06 13.5664908456 +56 20 36.219953940;5.4853    ;6.382    
292 ;* 14 Cep                           ;SB*;22 02 04.5726270264 +58 00 01.309758516;0.907     ;5.542    
293 ;HD 212136                          ;*  ;22 20 38.7697631736 +58 24 35.657052156;5.9072    ;6.448    
294 ;* zet Cep                          ;s*r;22 10 51.2777055617 +58 12 04.542602641;3.2972    ;3.35     
295 ;HD 211554                          ;*  ;22 16 26.5631295408 +57 13 12.857307492;5.2856    ;5.882    
296 ;HD 212454                          ;*  ;22 23 00.1872667344 +57 17 04.606223136;4.1243    ;6.168    
297 ;* del Cep B                        ;V*?;22 29 09.2466864624 +58 24 14.747232924;3.4544    ;6.30     
298 ;* del Cep                          ;cC*;22 29 10.2626640314 +58 24 54.697613650;3.5551    ;3.75     
299 ;HD 216595                          ;*  ;22 53 03.7845125472 +60 06 03.711574080;1.9819    ;5.984    
300 ;HD 217348                          ;*  ;22 59 09.0047427480 +59 48 52.747921836;2.3854    ;6.450    
301 ;HD 215907                          ;*  ;22 47 23.2377341352 +58 28 58.906076880;3.3163    ;6.36     
302 ;HD 217944                          ;** ;23 03 21.3843546720 +58 33 49.913913420;11.5243   ;6.428    
303 ;* 1 Cas                            ;*  ;23 06 36.8177774777 +59 25 11.135356051;2.2684    ;4.840    
304 ;HD 218440                          ;SB*;23 07 10.4521822440 +59 43 38.617577868;2.1417    ;6.419    
305 ;* 2 Cas                            ;*  ;23 09 44.1389006784 +59 19 57.687059136;1.19      ;5.679    
306 ;HD 220369                          ;V* ;23 22 32.5327535256 +60 08 00.552165504;2.1569    ;5.513    
307 ;HD 222682                          ;*  ;23 42 31.4587582128 +61 40 45.743658132;6.936     ;6.395    
308 ;HD 223386                          ;PM*;23 48 53.9708557608 +59 58 44.242748796;9.9282    ;6.324    
309 ;HD 224404                          ;*  ;23 57 33.5317631496 +60 01 24.963157308;2.8638    ;6.461    
310 ;* bet Cas                          ;dS*;00 09 10.68518 +59 08 59.2120          ;59.58     ;2.27     
311 ;HD 1142                            ;*  ;00 15 54.8453814744 +61 00 00.632172852;5.2983    ;6.432    
312 ;HD 1239                            ;*  ;00 16 57.0431385504 +61 31 59.468659896;4.8081    ;5.737    
313 ;V* V567 Cas                        ;a2*;00 05 06.1508805192 +61 18 50.292327564;4.7337    ;5.791    
314 ;HD 224893                          ;*  ;00 01 37.0160378616 +61 13 22.079486208;1.3825    ;5.567    
315 ;HD 224784                          ;PM*;00 00 30.8875627152 +59 33 34.850960676;7.9154    ;6.177    
316 ;HD 3283                            ;*  ;00 36 27.3446327760 +60 19 34.367545740;1.0737    ;5.792    
317 ;HD 2626                            ;** ;00 30 19.9344223392 +59 58 39.189476856;3.2021    ;5.94     
318 ;HD 3924                            ;*  ;00 42 31.0424087640 +58 45 12.289379796;4.3745    ;6.171    
319 ;HD 5015                            ;PM*;00 53 04.1964421920 +61 07 26.299289856;52.9017   ;4.80     
320 ;HD 5408                            ;** ;00 56 46.97166 +60 21 46.2192          ;6.06      ;5.566    
321 ;HD 4362                            ;*  ;00 46 42.4584874152 +59 34 28.347458772;1.5021    ;6.410    
322 ;* ups01 Cas                        ;PM*;00 55 00.1557027792 +58 58 21.717145956;9.062     ;4.820    
323 ;* ups02 Cas                        ;Pe*;00 56 39.9051464088 +59 10 51.805287084;16.6465   ;4.622    
324 ;* gam Cas                          ;HXB;00 56 42.5310945 +60 43 00.264089      ;5.94      ;2.39     
325 ;HD 6676                            ;*  ;01 08 33.4662629952 +58 15 48.425007852;4.1778    ;5.767    
326 ;* chi Cas                          ;*  ;01 33 55.8814773504 +59 13 55.394091516;16.2553   ;4.681    
327 ;HD 9353                            ;** ;01 33 25.7075838384 +58 19 38.449163964;1.7207    ;5.709    
328 ;HD 8272                            ;** ;01 23 21.41971 +58 08 34.7787          ;17.00     ;6.35     
329 ;NGC 457                            ;OpC;01 19 32.9 +58 16 41                   ;0.318     ;6.4      
330 ;* phi Cas                          ;s*y;01 20 04.9164665856 +58 13 53.807643876;0.2142    ;4.98     
331 ;HD 10293                           ;Pu*;01 42 17.7014309256 +58 37 39.852082632;2.2799    ;6.348    
332 ;HD 9900                            ;*  ;01 38 07.5665016360 +57 58 39.475310304;2.4121    ;5.536    
333 ;HD 10587                           ;*  ;01 44 46.1712782592 +57 05 21.236612388;6.5331    ;6.240    
334 ;V* V440 Per                        ;cC*;02 23 51.7443704208 +55 21 53.502677352;0.9318    ;6.291    
335 ;* i Per                            ;sg*;02 22 21.4343107056 +55 50 44.350353276;0.7852    ;5.17     
336 ;HD 13854                           ;s*b;02 16 51.7162480872 +57 03 18.882144756;0.429     ;6.48     
337 ;HD 16735                           ;PM*;02 42 59.5232301744 +53 31 33.986370504;10.1045   ;5.835    
338 ;* tau Per                          ;SB*;02 54 15.4777208304 +52 45 44.882735292;12.3726   ;3.96     
339 ;HD 18537                           ;Pu*;03 00 52.2110264304 +52 21 06.248122308;6.6753    ;5.219    
340 ;HD 18153                           ;*  ;02 56 50.6587654272 +51 15 40.626704700;4.7274    ;6.210    
341 ;* 29 Per                           ;Pu*;03 18 37.7416927200 +50 13 19.834697676;5.5326    ;5.157    
342 ;* 31 Per                           ;Pu*;03 19 07.6392847536 +50 05 41.889763428;5.7653    ;5.032    
343 ;HD 21071                           ;Pu*;03 25 57.3820460520 +49 07 14.729885580;6.0959    ;6.09     
344 ;* sig Per                          ;V* ;03 30 34.4853660216 +47 59 42.778854240;9.506     ;4.36     
345 ;HD 21551                           ;Pu*;03 30 36.9521337744 +48 06 12.973490460;5.6158    ;5.82     
346 ;HD 21455                           ;Be*;03 29 26.2864669176 +46 56 16.318187592;6.0801    ;6.217    
347 ;HD 21699                           ;Pu*;03 32 08.6084197968 +48 01 24.528548676;5.6378    ;5.461    
348 ;HD 19845                           ;*  ;03 13 23.8723102200 +48 10 37.040462112;9.9204    ;5.913    
349 ;HD 20809                           ;*  ;03 23 13.1970566400 +49 12 47.774817972;5.6817    ;5.30     
350 ;Cl Melotte 20 772                  ;*  ;03 27 58.9118912976 +49 01 10.301866968;0.4559    ;4.989    
351 ;* 36 Per                           ;PM*;03 32 26.2592647368 +46 03 24.701606568;27.0579   ;5.32     
352 ;HD 23139                           ;*  ;03 44 40.9018701480 +46 05 59.323850232;6.8797    ;6.091    
353 ;HD 23300                           ;*  ;03 45 59.2599323352 +45 40 54.837597144;4.6643    ;5.655    
354 ;HD 23838                           ;SB*;03 50 04.4251512960 +44 58 04.328639760;11.1856   ;5.657    
355 ;V* V376 Per                        ;dS*;03 49 08.1097674384 +43 57 47.301643260;14.6959   ;5.970    
356 ;HD 189684                          ;** ;19 59 20.4240504504 +45 46 21.149697252;7.5925    ;5.933    
357 ;* 30 Cyg                           ;V* ;20 13 18.0538639656 +46 48 56.430951948;5.1207    ;4.819    
358 ;* omi02 Cyg                        ;SB*;20 15 28.3242122880 +47 42 51.213932496;3.2558    ;3.98     
359 ;* 43 Cyg                           ;gD*;20 27 02.2674936096 +49 23 00.104394552;25.6035   ;5.715    
360 ;* ome01 Cyg                        ;Pu*;20 30 03.5409459288 +48 57 05.640569208;2.5459    ;4.936    
361 ;* ome02 Cyg                        ;*  ;20 31 18.8165476392 +49 13 13.063792944;7.1833    ;5.44     
362 ;V* U Cyg                           ;C* ;20 19 36.5946317760 +47 53 39.096681828;1.2992    ;5.90     
363 ;HD 195820                          ;PM*;20 31 21.1513761912 +52 18 34.284100680;8.6119    ;6.207    
364 ;HD 196379                          ;*  ;20 34 50.4035836248 +51 51 15.201646776;0.9763    ;6.180    
365 ;HD 198181                          ;PM*;20 46 21.2047674600 +52 59 43.074958344;7.4476    ;6.341    
366 ;HD 198513A                         ;*  ;20 48 42.7419788807 +51 54 37.206509930;4.0250    ;6.40     
367 ;HD 202987                          ;*  ;21 17 14.2473299064 +55 47 52.805982876;2.6343    ;5.975    
368 ;HD 206267                          ;SB*;21 38 57.6195772032 +57 29 20.554016280;1.3604    ;5.62     
369 ;HD 206842                          ;*  ;21 42 45.3654311088 +59 16 15.036333600;3.1595    ;6.088    
370 ;* mu. Cep                          ;s*r;21 43 30.4595558543 +58 46 48.165937434;0.1190    ;4.08     
371 ;HD 210220                          ;SB*;22 07 09.6327028704 +58 50 26.591408088;5.0747    ;6.341    
372 ;HD 210939                          ;*  ;22 12 02.0156316240 +60 45 32.752286424;7.9198    ;5.359    
373 ;* lam Cep                          ;s*b;22 11 30.5765111040 +59 24 52.154264880;1.1761    ;5.05     
374 ;HD 212495                          ;*  ;22 23 00.5205582432 +62 25 09.691259124;5.0368    ;6.032    
375 ;HD 216102                          ;PM*;22 48 44.2560038568 +62 56 18.286416024;5.4956    ;6.063    
376 ;HD 216380A                         ;PM*;22 51 22.6292242752 +61 41 48.269322384;14.0668   ;5.931    
377 ;HD 218537                          ;** ;23 07 47.7465973 +63 38 00.473547      ;2.44      ;6.26     
378 ;* 4 Cas                            ;V* ;23 24 50.2624114998 +62 16 58.116589921;3.8933    ;4.955    
379 ;HD 220074                          ;*  ;23 20 14.3795474712 +61 58 12.460711368;3.0137    ;6.400    
380 ;HD 220130                          ;*  ;23 20 34.5357932472 +62 12 47.751361704;1.3555    ;6.360    
381 ;* 10 Cas                           ;Be*;00 06 26.5373262768 +64 11 46.168691820;3.4070    ;5.59     
382 ;HD 371                             ;*  ;00 08 32.8585023240 +63 12 14.518767132;2.8675    ;6.420    
383 ;HD 225094                          ;s*b;00 03 25.7156345788 +63 38 25.861065311;0.8162    ;6.22     
384 ;* 9 Cas                            ;*  ;00 04 13.6624530168 +62 17 15.591230916;1.3781    ;5.884    
385 ;* 12 Cas                           ;*  ;00 24 47.5054725480 +61 49 51.808098288;3.8102    ;5.377    
386 ;* kap Cas                          ;s*b;00 32 59.9918836206 +62 55 54.413126128;1.0644    ;4.16     
387 ;HD 5459                            ;PM*;00 57 19.6066196088 +61 25 18.821154864;6.305     ;6.437    
388 ;HD 4817                            ;** ;00 51 16.3831719552 +61 48 19.779990984;0.9903    ;6.18     
389 ;HD 6210                            ;PM*;01 04 19.4510863152 +61 34 48.662237964;12.7218   ;5.833    
390 ;* del Cas                          ;EB*;01 25 48.9514709 +60 14 07.022507      ;32.81     ;2.680    
391 ;HD 10362                           ;*  ;01 42 58.3202573904 +61 25 15.863948112;2.4172    ;6.323    
392 ;* 44 Cas                           ;*  ;01 43 19.7566701600 +60 33 04.796911692;3.5725    ;5.76     
393 ;* 5 Per                            ;s*b;02 11 29.1934233120 +57 38 43.964680956;0.5243    ;6.35     
394 ;HD 12953                           ;sg*;02 08 40.5790963584 +58 25 24.970714608;0.3841    ;5.68     
395 ;HD 13476                           ;sg*;02 13 41.6105031504 +58 33 38.107279260;0.3967    ;6.43     
396 ;* 8 Per                            ;PM*;02 17 59.8872270144 +57 53 59.356756392;7.8978    ;5.748    
397 ;* 10 Per                           ;s*b;02 25 16.0283450208 +56 36 35.354429280;0.4424    ;6.26     
398 ;HD 14433                           ;sg*;02 21 55.4354619696 +57 14 34.499997492;0.4509    ;6.4800   
399 ;* chi Per                          ;*  ;02 18 04.5845635872 +57 30 58.759401204;4.1956    ;6.0230   
400 ;* 11 Per                           ;*  ;02 43 02.8380253536 +55 06 21.666195864;7.7748    ;5.753    
401 ;HD 17378                           ;sg*;02 49 30.7369299096 +57 05 03.548427576;0.433     ;6.26     
402 ;* eta Per                          ;*  ;02 50 41.8099734665 +55 53 43.779721818;3.2657    ;3.79     
403 ;* gam Per                          ;SB*;03 04 47.8201112829 +53 30 23.262605954;14.1252   ;2.93     
404 ;HD 19268                           ;*  ;03 08 03.8524753032 +52 12 48.632538456;5.3715    ;6.30     
405 ;HD 20123                           ;*  ;03 16 12.2028107016 +50 56 15.605186388;4.1952    ;5.03     
406 ;* alf Per                          ;V* ;03 24 19.3700924 +49 51 40.245455      ;6.44      ;1.79     
407 ;HD 21362                           ;*  ;03 28 52.3279117200 +49 50 54.188026800;5.7860    ;5.572    
408 ;* 34 Per                           ;*  ;03 29 22.0494961351 +49 30 32.230623601;5.7184    ;4.735    
409 ;HD 21278                           ;SB*;03 28 03.0707602272 +49 03 46.325803896;5.6775    ;4.97     
410 ;HD 21620                           ;EB*;03 31 29.3403535800 +49 12 35.181649440;7.5117    ;6.280    
411 ;* psi Per                          ;Be*;03 36 29.3797327450 +48 11 33.484405927;5.9635    ;4.23     
412 ;HD 21661                           ;*  ;03 31 49.0389469824 +49 24 03.939105996;2.0413    ;6.411    
413 ;HD 23049                           ;*  ;03 44 06.4279692792 +48 31 25.168093896;4.8135    ;6.042    
414 ;* del Per                          ;Be*;03 42 55.4928046977 +47 47 14.988257477;6.2435    ;3.01     
415 ;HD 27026                           ;Pu*;04 18 08.1089490240 +42 08 28.194401724;5.7829    ;6.205    
416 ;* 14 Cyg                           ;*  ;19 39 26.4926212920 +42 49 05.741064084;6.1689    ;5.40     
417 ;HD 186121                          ;** ;19 40 41.1500612424 +43 04 40.171152612;2.602     ;6.16     
418 ;HD 188209                          ;s*b;19 51 59.0687638680 +47 01 38.419078944;0.5038    ;5.63     
419 ;* del Cyg                          ;PM*;19 44 58.4785413 +45 07 50.916066      ;19.77     ;2.87     
420 ;HD 186155                          ;PM*;19 40 50.1834564055 +45 31 29.788145729;19.7519   ;5.06     
421 ;HD 190781                          ;SB*;20 04 28.7960587368 +48 13 46.801934148;5.4194    ;6.140    
422 ;HD 188074                          ;** ;19 51 19.3789612248 +47 22 38.050618692;15.3103   ;6.215    
423 ;HD 188252                          ;Pu*;19 52 07.1662436976 +47 55 54.461806320;1.1158    ;5.897    
424 ;HD 188439                          ;Pu*;19 53 01.2463552968 +47 48 27.793662768;0.9568    ;6.279    
425 ;HD 192983                          ;** ;20 15 43.2534443808 +50 13 58.477884384;8.6284    ;6.360    
